Year,Value,Units,Series
2010,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2011,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2025,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2022,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2018,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2014,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2016,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2013,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2012,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2024,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2017,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2023,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2021,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2020,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2019,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2015,100.0,%,Elektrizitaterako sarbidea duten eskolen proportzioa
2011,100.0,%,Interneterako konexioa duten eskolen proportzioa
2013,100.0,%,Interneterako konexioa duten eskolen proportzioa
2016,100.0,%,Interneterako konexioa duten eskolen proportzioa
2019,99.9,%,Interneterako konexioa duten eskolen proportzioa
2021,99.9,%,Interneterako konexioa duten eskolen proportzioa
2017,100.0,%,Interneterako konexioa duten eskolen proportzioa
2014,100.0,%,Interneterako konexioa duten eskolen proportzioa
2012,100.0,%,Interneterako konexioa duten eskolen proportzioa
2010,100.0,%,Interneterako konexioa duten eskolen proportzioa
2023,99.9,%,Interneterako konexioa duten eskolen proportzioa
2015,100.0,%,Interneterako konexioa duten eskolen proportzioa
2013,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2012,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2021,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2010,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2018,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2016,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2015,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2014,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2017,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2019,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2025,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2020,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2022,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2011,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2023,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2024,100.0,%,Bainuak sexuaren arabera bereizita dituzten eskolen proportzioa
2014,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2011,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2010,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2012,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2024,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2013,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2016,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2015,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2020,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2022,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2017,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2018,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2019,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2021,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2023,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2025,100.0,%,Edateko uraren hornidura duten eskolen proportzioa
2010,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2011,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2014,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2012,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2013,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2015,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2016,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2024,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2020,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2017,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2018,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2019,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2021,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2022,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2023,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
2025,100.0,%,Eskuak garbitzeko instalazioak dituzten eskolen proportzioa
